class	repoRelativePath	lineCount	bytes	sha256_16	title
process-or-backlog	docs/backlog/backlinks-backlog.md	17	467	18b46ad48e9ea238	Backlinks Backlog
process-or-backlog	docs/backlog/backlog.md	49	1527	e856b24a66c2b712	Backlog
supporting-analysis	docs/design/Brand Style Guide.md	280	16562	7ec71c774be6380c	Green-lappe-brand-style-guide
supporting-analysis	docs/design/PNW Property Management Pain Points - Three Personas, One Broken Middle.md	297	38290	0cf0126370630ce3	PNW Property Management Pain Points - Three Personas, One Broken Middle
supporting-analysis	docs/design/User Journey Map v1.md	901	58964	98e337bfba4f54d1	User Journey Map V1
supporting-analysis	docs/fund/Green Lappe Market Opportunity and Financial Model Analysis.md	277	17058	0c910083a8a887dc	Green Lappe Market Opportunity and Financial Model Analysis
primary-synthesis	docs/fund/Pitch Deck Prep v.1.md	313	32771	d035adc03dc6bb97	Pitch Deck Prep v.1
supporting-analysis	docs/gtm/Go-to-Market (GTM) Plan v.1.md	534	40733	b4c45c87bdbc4b8f	King-snohomish-pm-startup-operations-plan
primary-synthesis	docs/gtm/Launch Prioritization.md	156	9926	5f7249811606719e	Launch Prioritization
supporting-analysis	docs/insights/2026-05-18-1300-Competitor Research Insight.md	23	1590	742606669078ea06	2026-05-18-1300-Competitor Research Insight
supporting-analysis	docs/marketing/founder-bios/Kevin-Lappe-Resume.txt	38	6878	b8ec1e1f30ac807f	Kevin-Lappe-Resume.txt
process-or-backlog	docs/passoffs/2026-05-19-1529-passoff-file.md	43	3153	a5c3359b314486df	Summary
process-or-backlog	docs/passoffs/2026-05-19-1547-passoff-file.md	60	4381	de5216babbc7bbdb	Summary
process-or-backlog	docs/passoffs/2026-05-20-0930-passoff-file.md	57	3887	24df15275d249286	Summary
process-or-backlog	docs/passoffs/2026-05-20-1036-passoff-file.md	70	3036	567d66eaba1b46e6	Summary
process-or-backlog	docs/passoffs/2026-05-20-1039-passoff-file.md	45	1479	371af88f30b7821d	Summary
supporting-analysis	docs/plans/2026-05-20-forward-plan.md	174	6430	0f2768b93a570b64	Green Lappe Properties Forward Plan
supporting-analysis	docs/research/competitors/Competitor Research Dimensions.md	163	5460	de0f43b182c79bcc	Competitor Research Dimensions
supporting-analysis	docs/research/competitors/Independent Property Management Companies, King and Snohomish Counties.md	463	42291	bf4e85c483b26355	Independent Property Management Companies, King and Snohomish Counties
supporting-analysis	docs/research/competitors/King County and Snohomish County Small-Owner Rental Listings Dataset.md	405	42665	ac0d3d8b71517449	King County and Snohomish County Small-Owner Rental Listings Dataset
primary-synthesis	docs/research/competitors/Non-Institutional Small Landlord PM Market, King and Snohomish Counties.md	323	16084	6982d9f3486d27f8	Non-Institutional Small Landlord PM Market, King and Snohomish Counties
supporting-analysis	docs/research/metrics/Key Property Management Metrics-MoC.md	248	22816	a47b6f2955590999	Key Property Management Metrics-MoC
supporting-analysis	docs/research/metrics/Northstar-Leased Months.md	162	8676	d9cef74b72592d8d	Northstar-Leased Months
metric-definition	docs/research/metrics/pm-competitor-metrics/acquisition-activity.md	60	1182	1f71a0378424074b	Acquisition-activity
metric-definition	docs/research/metrics/pm-competitor-metrics/affiliate-network.md	60	1205	e2a03e0bb1081534	Affiliate-network
metric-definition	docs/research/metrics/pm-competitor-metrics/ag-complaints.md	61	1191	301be33703382d36	Ag-complaints
metric-definition	docs/research/metrics/pm-competitor-metrics/ai-leasing-chatbot.md	60	1167	91f2f400963bdb6b	Ai-leasing-chatbot
metric-definition	docs/research/metrics/pm-competitor-metrics/ancillary-revenue-per-unit.md	63	2080	e324c95e1f221d5b	Ancillary-revenue-per-unit
metric-definition	docs/research/metrics/pm-competitor-metrics/application-to-lease-conversion-rate.md	61	1347	730cf9a389b159b7	Application-to-lease-conversion-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/average-doors-per-owner.md	60	1202	fc22307d3bb09470	Average-doors-per-owner
metric-definition	docs/research/metrics/pm-competitor-metrics/average-management-fee-realized.md	61	1756	c2e4eae60b28c446	Average-management-fee-realized
metric-definition	docs/research/metrics/pm-competitor-metrics/average-rent-per-unit.md	61	1118	65ff03eb237908b2	Average-rent-per-unit
metric-definition	docs/research/metrics/pm-competitor-metrics/average-tenancy-length.md	61	1285	a3d6ab1339a766ed	Average-tenancy-length
metric-definition	docs/research/metrics/pm-competitor-metrics/bbb-complaint-count.md	60	1165	b53af6becf429a75	Bbb-complaint-count
metric-definition	docs/research/metrics/pm-competitor-metrics/bbb-complaint-resolution-rate.md	60	1121	a9d793772c093889	Bbb-complaint-resolution-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/bilingual-staff-languages.md	59	1074	d864a17efd090d94	Bilingual-staff-languages
metric-definition	docs/research/metrics/pm-competitor-metrics/bookkeepers-trust-accountants.md	60	1074	319bc074894409d0	Bookkeepers-trust-accountants
metric-definition	docs/research/metrics/pm-competitor-metrics/brokerage-tie-in.md	60	1150	8f934c246646c796	Brokerage-tie-in
metric-definition	docs/research/metrics/pm-competitor-metrics/class-a-b-c-mix.md	61	1264	3eeed231814caefe	Class-a-b-c-mix
metric-definition	docs/research/metrics/pm-competitor-metrics/communication-sla.md	61	1192	0b5effeee68bc67d	Communication-sla
metric-definition	docs/research/metrics/pm-competitor-metrics/content-velocity.md	60	1143	fc2d41f16db603d8	Content-velocity
metric-definition	docs/research/metrics/pm-competitor-metrics/contract-terms.md	60	1399	5f8f57d15aef0e2a	Contract-terms
metric-definition	docs/research/metrics/pm-competitor-metrics/core-pms.md	61	1441	f7ecfd8882b81ddc	Core-pms
metric-definition	docs/research/metrics/pm-competitor-metrics/customer-acquisition-cost-per-owner.md	62	1609	dfcab67248b7580c	Customer-acquisition-cost-per-owner
metric-definition	docs/research/metrics/pm-competitor-metrics/days-on-market.md	61	1443	78e07002435ad823	Days-on-market
metric-definition	docs/research/metrics/pm-competitor-metrics/delinquency-rate.md	61	1324	7b7c647a90c9afb9	Delinquency-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/designated-broker-license-and-tenure.md	60	1195	9f28e68c1bef0f69	Designated-broker-license-and-tenure
metric-definition	docs/research/metrics/pm-competitor-metrics/designations-held.md	60	1122	a6097bc4bba142f4	Designations-held
metric-definition	docs/research/metrics/pm-competitor-metrics/differentiation-claim.md	61	1229	10bd1bea39582187	Differentiation-claim
metric-definition	docs/research/metrics/pm-competitor-metrics/doj-hud-complaints.md	58	1056	1a4280e15cbb3b73	Doj-hud-complaints
metric-definition	docs/research/metrics/pm-competitor-metrics/domain-authority.md	60	1017	0d6100236d8942e2	Domain-authority
metric-definition	docs/research/metrics/pm-competitor-metrics/doors-per-property-manager.md	62	1337	6ac4b47f49267509	Doors-per-property-manager
metric-definition	docs/research/metrics/pm-competitor-metrics/e-o-insurance-carrier-and-limits.md	60	1066	bc0d4c1e7a7bcbe6	E-o-insurance-carrier-and-limits
metric-definition	docs/research/metrics/pm-competitor-metrics/ebitda-margin.md	61	1677	8ea4f0e91ab0ec0f	Ebitda-margin
metric-definition	docs/research/metrics/pm-competitor-metrics/emergency-response-time.md	61	1277	7adc53ea446c9950	Emergency-response-time
metric-definition	docs/research/metrics/pm-competitor-metrics/eviction-lawsuits-filed.md	61	1267	d7fdf97830be3e65	Eviction-lawsuits-filed
metric-definition	docs/research/metrics/pm-competitor-metrics/eviction-rate-per-100-units.md	61	1403	ed020119935f1157	eviction-rate-per-100-units
metric-definition	docs/research/metrics/pm-competitor-metrics/facebook-rating-and-count.md	60	1128	1189edb0b71a6ca1	Facebook-rating-and-count
metric-definition	docs/research/metrics/pm-competitor-metrics/fair-housing-training-cadence.md	61	1217	1578b263910024a2	Fair-housing-training-cadence
metric-definition	docs/research/metrics/pm-competitor-metrics/first-time-fix-rate.md	61	1123	f64edfd2fc4f5592	First-time-fix-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/founding-partner-exit-risk.md	61	1312	e82b817de650a3b8	Founding-partner-exit-risk
metric-definition	docs/research/metrics/pm-competitor-metrics/geographic-concentration.md	60	1232	dbda7b84563d6878	Geographic-concentration
metric-definition	docs/research/metrics/pm-competitor-metrics/gl-cyber-coverage.md	60	1091	4af0b6d2ea7ec1e8	Gl-cyber-coverage
metric-definition	docs/research/metrics/pm-competitor-metrics/google-review-count.md	61	1105	7febeb5e68975c26	Google-review-count
metric-definition	docs/research/metrics/pm-competitor-metrics/gross-revenue-per-unit.md	61	1547	047c93f8d6f2fe35	Gross-revenue-per-unit
metric-definition	docs/research/metrics/pm-competitor-metrics/hb-1217-compliance-posture.md	60	1223	38f0546e41cbc2be	hb-1217-compliance-posture
metric-definition	docs/research/metrics/pm-competitor-metrics/inspection-cadence.md	60	1299	c50086d0a6babce9	Inspection-cadence
metric-definition	docs/research/metrics/pm-competitor-metrics/inspection-types-included.md	60	1229	fa1777d99df0a38a	Inspection-types-included
metric-definition	docs/research/metrics/pm-competitor-metrics/integrations.md	60	1200	51a7c4c8f61f237c	Integrations
metric-definition	docs/research/metrics/pm-competitor-metrics/investor-relationships.md	60	1238	c77c0c390edc168c	Investor-relationships
metric-definition	docs/research/metrics/pm-competitor-metrics/lease-compliance-incidents.md	61	1531	1d394556ad886cd2	Lease-compliance-incidents
metric-definition	docs/research/metrics/pm-competitor-metrics/leasing-agent-count.md	60	1030	7e1b339aab32c7f7	Leasing-agent-count
metric-definition	docs/research/metrics/pm-competitor-metrics/litigation-history.md	61	1244	6fca0769af398743	Litigation-history
metric-definition	docs/research/metrics/pm-competitor-metrics/ltv-per-owner.md	62	1462	88394a2d09f5883f	Ltv-per-owner
metric-definition	docs/research/metrics/pm-competitor-metrics/ltv-to-cac-ratio.md	61	1283	8305dbe54d21ac08	Ltv-to-cac-ratio
metric-definition	docs/research/metrics/pm-competitor-metrics/maintenance-cost-per-unit.md	61	1405	93dd96b3108240c4	Maintenance-cost-per-unit
metric-definition	docs/research/metrics/pm-competitor-metrics/maintenance-markup-transparency.md	61	1429	f2dc070cf6ccf803	Maintenance-markup-transparency
metric-definition	docs/research/metrics/pm-competitor-metrics/maintenance-staff-in-house-vs-outsourced.md	61	1297	fc6b63a2fb02e543	Maintenance-staff-in-house-vs-outsourced
metric-definition	docs/research/metrics/pm-competitor-metrics/maintenance-triage-automation.md	61	1319	509e6d6a4caed2e4	Maintenance-triage-automation
metric-definition	docs/research/metrics/pm-competitor-metrics/maintenance-work-order-cycle-time.md	61	1159	0208325717461aad	Maintenance-work-order-cycle-time
metric-definition	docs/research/metrics/pm-competitor-metrics/marketing-channels-active.md	61	1211	9d1119ee9c86f4a7	Marketing-channels-active
metric-definition	docs/research/metrics/pm-competitor-metrics/narpm-irem-ccim-designations.md	60	1121	a63401bf31ef132e	Narpm-irem-ccim-designations
metric-definition	docs/research/metrics/pm-competitor-metrics/net-unit-growth-rate.md	61	1500	2ed98f257b535bc5	Net-unit-growth-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/new-construction-lease-up-capability.md	60	1165	f5d6b25b5614ba74	New-construction-lease-up-capability
metric-definition	docs/research/metrics/pm-competitor-metrics/online-application-and-e-signature.md	60	1197	ba445298b398aa8c	Online-application-and-e-signature
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-churn-rate.md	62	1633	e09cbe72b1b4c8ef	Owner-churn-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-concentration.md	60	1223	3481335e3ca0bafc	Owner-concentration
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-nps.md	61	1201	ca491945569441a4	Owner-nps
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-portal-features-depth.md	61	1295	40abb5931ccd24d6	Owner-portal-features-depth
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-portal.md	61	1155	154a87ab8f8b76c1	Owner-portal
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-referral-rate.md	61	1134	3c50974db77d631f	Owner-referral-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-reporting-cadence.md	60	1172	a31e7784b6e78692	Owner-reporting-cadence
metric-definition	docs/research/metrics/pm-competitor-metrics/owner-type-mix.md	60	1173	16dee8a05929eee8	Owner-type-mix
metric-definition	docs/research/metrics/pm-competitor-metrics/payback-period-on-new-owner.md	61	1306	1b62881e25ebb640	Payback-period-on-new-owner
metric-definition	docs/research/metrics/pm-competitor-metrics/performance-guarantees.md	60	1323	2d51f2638b107228	Performance-guarantees
metric-definition	docs/research/metrics/pm-competitor-metrics/pm-competitor-metrics-index.md	257	23001	6b107d4c3a1f3e9b	Pm-competitor-metrics-index
metric-definition	docs/research/metrics/pm-competitor-metrics/pricing-transparency.md	61	1302	c2c33557111a0ab6	Pricing-transparency
metric-definition	docs/research/metrics/pm-competitor-metrics/property-manager-count.md	60	1048	33d2346537bba202	Property-manager-count
metric-definition	docs/research/metrics/pm-competitor-metrics/property-type-mix.md	60	1257	4f7f27ba260563b5	Property-type-mix
metric-definition	docs/research/metrics/pm-competitor-metrics/renewal-rate.md	61	1295	28078bc08b6ac53e	Renewal-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/rent-collection-rate.md	61	1353	c02ac38e4211b9f1	Rent-collection-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/repeat-owner-rate.md	61	1123	3913dc2e520e2827	Repeat-owner-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/revenue-mix.md	61	1554	7747a5a6f8ca58a7	Revenue-mix
metric-definition	docs/research/metrics/pm-competitor-metrics/review-velocity.md	60	1150	f8ce7a56c228ab04	Review-velocity
metric-definition	docs/research/metrics/pm-competitor-metrics/seattle-compliance-posture.md	61	1351	9bae97f3502a4deb	Seattle-compliance-posture
metric-definition	docs/research/metrics/pm-competitor-metrics/security-deposit-return-disputes.md	60	1144	b95da39c983cf0e5	Security-deposit-return-disputes
metric-definition	docs/research/metrics/pm-competitor-metrics/self-showing-technology.md	61	1315	804eeef02504e050	Self-showing-technology
metric-definition	docs/research/metrics/pm-competitor-metrics/seo-rank-for-city-plus-pm.md	60	1050	c057fe1801b26406	Seo-rank-for-city-plus-pm
metric-definition	docs/research/metrics/pm-competitor-metrics/showings-per-vacancy.md	60	1172	e0e0c727cbf51b04	Showings-per-vacancy
metric-definition	docs/research/metrics/pm-competitor-metrics/social-media-presence.md	60	1127	7b33bdc40b3e1c47	Social-media-presence
metric-definition	docs/research/metrics/pm-competitor-metrics/stated-icp.md	61	1209	ef9a3a157e33fe47	Stated-icp
metric-definition	docs/research/metrics/pm-competitor-metrics/succession-plan.md	60	1259	a0a3f7206fc3050c	Succession-plan
metric-definition	docs/research/metrics/pm-competitor-metrics/tax-reporting-included.md	60	1122	47c5cdc676b7821e	Tax-reporting-included
metric-definition	docs/research/metrics/pm-competitor-metrics/tenant-mobile-app.md	60	1076	894f8b76dfa1852e	Tenant-mobile-app
metric-definition	docs/research/metrics/pm-competitor-metrics/tenant-nps.md	61	1109	c0b47593e6304646	Tenant-nps
metric-definition	docs/research/metrics/pm-competitor-metrics/tenure-of-leadership.md	60	1129	ea39272a8407ad90	Tenure-of-leadership
metric-definition	docs/research/metrics/pm-competitor-metrics/time-to-first-showing.md	60	1091	ce168e23a0b76976	Time-to-first-showing
metric-definition	docs/research/metrics/pm-competitor-metrics/total-headcount.md	61	1100	cb9b075edc41054b	Total-headcount
metric-definition	docs/research/metrics/pm-competitor-metrics/trust-account-audit-history.md	60	1194	17e07ad69c085c54	Trust-account-audit-history
metric-definition	docs/research/metrics/pm-competitor-metrics/trust-accounting-practices.md	60	1309	c4e2a4f72d0099c7	Trust-accounting-practices
metric-definition	docs/research/metrics/pm-competitor-metrics/vacancy-rate.md	61	1236	4f194c1f94bd63d1	Vacancy-rate
metric-definition	docs/research/metrics/pm-competitor-metrics/vendor-management-system.md	60	1168	cd9d44cfda1abfa4	Vendor-management-system
metric-definition	docs/research/metrics/pm-competitor-metrics/wa-dol-firm-license-status.md	60	1187	367b3ac91127cd8e	Wa-dol-firm-license-status
metric-definition	docs/research/metrics/pm-competitor-metrics/yelp-review-count.md	60	1057	d8bed4103d8762dc	Yelp-review-count
supporting-analysis	docs/research/plans/Demographic Research Plan.md	524	43278	2234fbdf18119025	Demographic Research Plan
supporting-analysis	docs/research/plans/Property Management Company Deep Dives.md	9	534	a473fd5f92cf9f8b	Property Management Company Deep Dives.md
supporting-analysis	docs/research/prompts/Demographic Research Prompts.md	823	45480	2b226be21070c4a7	Demographic Research Prompts
supporting-analysis	docs/research/references/Metrics Glossary.md	505	16532	70c7469a38083154	Green-lappe-metrics-glossary
supporting-analysis	docs/research/references/Reports-Glossary.md	1	0	e3b0c44298fc1c14	Reports-Glossary.md
supporting-analysis	docs/research/references/Reports-Methodology.md	1	0	e3b0c44298fc1c14	Reports-Methodology.md
data-table	docs/research/reports/effort-0/district-boundaries.geojson	51	10097	1dbd97b596e698a8	district-boundaries.geojson
supporting-analysis	docs/research/reports/effort-0/district-boundaries.geojson.README	52	2140	ca8410204a8afc08	district-boundaries.geojson - geometry merge instructions
supporting-analysis	docs/research/reports/effort-0/effort-0-narrative.md	262	15107	812faa27e4ffe443	effort-0-narrative
data-table	docs/research/reports/effort-0/jurisdiction-crosswalk.csv	62	6521	41c19c963098c916	jurisdiction-crosswalk.csv
data-table	docs/research/reports/effort-0/schema.yaml	158	7940	77beb9925d683e97	schema.yaml
data-table	docs/research/reports/effort-0/zip-boundaries.geojson	129	28105	8bdfd171505a604c	zip-boundaries.geojson
supporting-analysis	docs/research/reports/effort-0/zip-boundaries.geojson.README	42	1716	60e3b54ce44ebb90	zip-boundaries.geojson - geometry merge instructions
data-table	docs/research/reports/effort-0/zip-master.csv	115	20261	7e01291b927b9046	zip-master.csv
data-table	docs/research/reports/effort-1/attendance-boundaries.geojson	157	31048	92b0d1a63dc4b9b5	attendance-boundaries.geojson
supporting-analysis	docs/research/reports/effort-1/attendance-boundaries.geojson.README	71	3317	a7c6159d0fd96bab	attendance-boundaries.geojson — README
supporting-analysis	docs/research/reports/effort-1/boundary-change-watchlist.md	127	6016	b07eb7fb8d5bda3f	boundary-change-watchlist
supporting-analysis	docs/research/reports/effort-1/effort-1-narrative.md	290	14406	7a2989e442ee24d0	effort-1-narrative
data-table	docs/research/reports/effort-1/schema.yaml	238	8465	71745373da91a44b	schema.yaml
data-table	docs/research/reports/effort-1/schools.csv	444	83949	14fbe7d7eeb60beb	schools.csv
data-table	docs/research/reports/effort-1/zip-school-crosswalk.csv	109	21027	7e92a73fd0475aaf	zip-school-crosswalk.csv
supporting-analysis	docs/research/reports/effort-2/effort-2-narrative.md	374	18612	ee4d036e58caddb8	effort-2-narrative
data-table	docs/research/reports/effort-2/housing-zip.csv	109	62929	ac8dc8907b238680	housing-zip.csv
data-table	docs/research/reports/effort-2/permits-adu-dadu.csv	284	16580	6b0c79c5970e1dc9	permits-adu-dadu.csv
data-table	docs/research/reports/effort-2/schema.yaml	101	6485	51452ac5012e6cd2	schema.yaml
data-table	docs/research/reports/effort-2/small-portfolio-stock-modeled.csv	109	13903	af38f2234a309d2c	small-portfolio-stock-modeled.csv
data-table	docs/research/reports/effort-3/demographics-zip.csv	109	33473	088792a36f8354fc	demographics-zip.csv
supporting-analysis	docs/research/reports/effort-3/effort-3-narrative.md	343	18910	ef330fd2e8f09d77	effort-3-narrative
data-table	docs/research/reports/effort-3/language-clusters.csv	14	2460	e8c2a9f25966d1d1	language-clusters.csv
data-table	docs/research/reports/effort-3/refugee-placements.csv	82	29065	5c096b55a538330f	refugee-placements.csv
data-table	docs/research/reports/effort-3/schema.yaml	352	13321	1bc48a5d500a30c7	schema.yaml
data-table	docs/research/reports/effort-3/visa-cohorts.csv	109	28518	eac7fda0a11aa957	visa-cohorts.csv
data-table	docs/research/reports/effort-3/zip-master-population-fill.csv	109	19865	497755bb69b422a5	zip-master-population-fill.csv
data-table	docs/research/reports/effort-4/cohort-analysis.csv	8	4665	e7449c07533eaa33	cohort-analysis.csv
data-table	docs/research/reports/effort-4/compensation-by-level.csv	70	9012	c12e1673e518ecd0	compensation-by-level.csv
supporting-analysis	docs/research/reports/effort-4/effort-4-narrative.md	190	20387	237bcdb7f0eca7a9	effort-4-narrative
data-table	docs/research/reports/effort-4/employers-top20.csv	22	5118	21e59495343d4b45	employers-top20.csv
supporting-analysis	docs/research/reports/effort-4/layoff-cycle-response.md	208	14454	b9adc54f27120947	layoff-cycle-response
data-table	docs/research/reports/effort-4/lca-by-zip.csv	50	6150	6f2869ff379f5547	lca-by-zip.csv
data-table	docs/research/reports/effort-4/schema.yaml	341	13392	098de106b874d3ad	schema.yaml
data-table	docs/research/reports/effort-4/tech-employers-detailed.csv	26	7187	2178aa37c8a73915	tech-employers-detailed.csv
data-table	docs/research/reports/effort-4/warn-notices.csv	73	8408	c8f0605601141850	warn-notices.csv
data-table	docs/research/reports/effort-5/childcare-facilities.csv	24	4478	d983a6b046860e1d	TODO,Bright Horizons at Redmond,center,16221 NE 87th St,Redmond,98052,98052,156,16,32,80,# TODO,active,# TODO,2950,2300,Anchor center near Microsoft campus; provider-network operator
data-table	docs/research/reports/effort-5/childcare-gap-zip.csv	109	9093	3b8c3386b386ea72	childcare-gap-zip.csv
data-table	docs/research/reports/effort-5/daycare-zoning-matrix.csv	64	10011	376c857f9efc8e75	daycare-zoning-matrix.csv
supporting-analysis	docs/research/reports/effort-5/effort-5-narrative.md	259	12995	fc54b1e7e00b46ae	effort-5-narrative
supporting-analysis	docs/research/reports/effort-5/exogenous-risks.md	374	16564	8ab539d3cc2451de	exogenous-risks
supporting-analysis	docs/research/reports/effort-5/pending-ordinances.md	202	8072	ebcb2c7e863be112	pending-ordinances
data-table	docs/research/reports/effort-5/rental-regulatory-matrix.csv	64	10957	238635b6877002a4	rental-regulatory-matrix.csv
data-table	docs/research/reports/effort-5/schema.yaml	145	7891	53f82dbadfbc2bd4	schema.yaml — Effort 5
data-table	docs/research/reports/effort-6/_scripts/norm_state.json	1	39555	e8665751d465002f	norm_state.json
data-table	docs/research/reports/effort-6/_scripts/scored_records.json	8348	261741	2eb927d4dedf99ee	scored_records.json
supporting-analysis	docs/research/reports/effort-6/dual-use-shortlist.md	23	1817	9421d57d45605dea	dual-use-shortlist
primary-synthesis	docs/research/reports/effort-6/final-report.md	162	11071	9df23b0fa2dd9443	final-report
data-table	docs/research/reports/effort-6/green-lappe-final-dataset.csv	109	55945	2fe0b974c2bd11d7	green-lappe-final-dataset.csv
data-table	docs/research/reports/effort-6/heatmaps.geojson	1824	44610	2053c6399ea1a057	heatmaps.geojson
supporting-analysis	docs/research/reports/effort-6/heatmaps.geojson.README	42	1589	0943c5a20cf2ab2c	heatmaps.geojson — README
supporting-analysis	docs/research/reports/effort-6/hypothesis-resolution.md	117	10003	fbcf6adff6243b5e	hypothesis-resolution
supporting-analysis	docs/research/reports/effort-6/mismatch-analysis.md	83	3987	49fbb3efcc22e39c	mismatch-analysis
data-table	docs/research/reports/effort-6/schema.yaml	165	4786	60cea3d85d90d731	green-lappe-final-dataset schema
supporting-analysis	docs/research/reports/effort-6/sensitivity-analysis.md	90	4304	65eba52def0a99c5	sensitivity-analysis
supporting-analysis	docs/research/reports/effort-6/top-10-daycare-conversion-zips.md	344	17182	0d7a0daa21a77f43	top-10-daycare-conversion-zips
supporting-analysis	docs/research/reports/effort-6/top-10-pm-sub-markets.md	356	18008	f1c4706e9ec0ce6f	top-10-pm-sub-markets
supporting-analysis	docs/research/reports/effort-6/top-10-rental-acquisition-zips.md	364	17049	1df972d0b776d903	top-10-rental-acquisition-zips
supporting-analysis	docs/research/reports/Market Research Insights - Demographics.md	215	9348	80dd43581721e336	Market Research Insights - Demographics
supporting-analysis	docs/research/unit-economics/Customer Acquisition Costs (CAC) Model.md	301	17141	2a81657136709def	Customer Acquisition Costs (CAC) Model
primary-synthesis	docs/research/unit-economics/Total Addressable Market (TAM) — Residential Property Management Services.md	295	26133	9a3ef061c006cbb2	Total Addressable Market (TAM)—Residential Property Management Services
primary-synthesis	docs/research/unit-economics/Total Addressable Market (TAM).md	814	48141	29e856bebe3650d4	Total Addressable Market (TAM)
supporting-analysis	docs/status/2026-05-20-status-report.md	70	4011	67ba34db85e2cbee	Green Lappe Properties Status Report
supporting-analysis	docs/strategies/DHM Framework.md	120	5329	30c05185f3ec1da8	DHM Framework
supporting-analysis	docs/strategies/Family Child Care (FCC).md	207	13011	69f7fccc5be5f6dc	Family Child Care (FCC)
supporting-analysis	docs/strategies/Two-Sided Marketplace.md	301	16942	99e6ed1ab369eaa6	Two Sided Marketplace
supporting-analysis	docs/strategies/Validation Strategies.md	346	17027	8e1c31bc54c6433d	Validation Strategies
process-or-backlog	project-management/meta/2026-05-17 Meta-Analysis.md	360	24737	73a3186c46097ca6	2026-05-17 Meta-Analysis
process-or-backlog	project-management/status-updates/2026-05-18-1230.md	84	5385	fac0632284c48acc	2026-05-18-1230
primary-synthesis	README.md	94	7374	08c6a546710d2a5a	green-lappe-properties
